iter	Passed	Remaining
876	48605	6817
877	48664	6762
878	48723	6707
879	48782	6652
880	48842	6597
881	48902	6542
882	48960	6487
883	49018	6432
884	49073	6376
885	49125	6320
886	49179	6265
887	49233	6209
888	49286	6153
889	49344	6098
890	49398	6043
891	49450	5987
892	49506	5931
893	49558	5876
894	49611	5820
895	49664	5764
896	49720	5709
897	49772	5653
898	49826	5597
899	49879	5542
900	49933	5486
901	49989	5431
902	50043	5375
903	50099	5320
904	50155	5264
905	50209	5209
906	50263	5153
907	50317	5098
908	50374	5042
909	50428	4987
910	50483	4932
911	50537	4876
912	50590	4820
913	50643	4765
914	50697	4709
915	50752	4654
916	50806	4598
917	50859	4543
918	50914	4487
919	50970	4432
920	51023	4376
921	51079	4321
922	51133	4265
923	51190	4210
924	51243	4154
925	51300	4099
926	51357	4044
927	51412	3988
928	51471	3933
929	51526	3878
930	51580	3822
931	51637	3767
932	51690	3711
933	51743	3656
934	51799	3601
935	51857	3545
936	51910	3490
937	51972	3435
938	52024	3379
939	52079	3324
940	52138	3269
941	52190	3213
942	52250	3158
943	52310	3103
944	52373	3048
945	52427	2992
946	52486	2937
947	52540	2881
948	52596	2826
949	52652	2771
950	52706	2715
951	52760	2660
952	52816	2604
953	52872	2549
954	52928	2494
955	52985	2438
956	53040	2383
957	53098	2327
958	53152	2272
959	53207	2216
960	53263	2161
961	53317	2106
962	53372	2050
963	53427	1995
964	53485	1939
965	53539	1884
966	53595	1829
967	53652	1773
968	53704	1718
969	53760	1662
970	53813	1607
971	53871	1551
972	53926	1496
973	53983	1441
974	54036	1385
975	54090	1330
976	54146	1274
977	54199	1219
978	54255	1163
979	54310	1108
980	54366	1052
981	54422	997
982	54479	942
983	54535	886
984	54588	831
985	54644	775
986	54698	720
987	54754	665
988	54809	609
989	54865	554
990	54919	498
991	54974	443
992	55032	387
993	55085	332
994	55142	277
995	55197	221
996	55252	166
997	55308	110
998	55365	55
999	55420	0
